"lang","ru"
"dateFormat","d.m.Y"
"Table_intro","В этом списке можно найти текущие объявления. Если Вы найдете подходящее для Вас объявление, можете просто отправить этому человеку сообщение. "
"Table_filtern","Фильтр"
"Table_Title ","Таблица"
"Table_col_name","Имя"
"Table_col_spracheAng","Предложенный язык"
"Table_col_spracheGes","Язык поиска"
"Table_col_datum","Дата объявления"
"Table_col_ort","место "
"Table_filter_alle","все"
"Add_intro","Вы не нашли подходящего для Вас объявления? Тогда Вы сами можете добавить в список Ваше желание по тандеме. "
"Add_name","Ваше имя"
"Add_email","Ваш адрес электронной почты"
"Add_email_nochmal","Повторить адрес электронной почты"
"Add_alter","Ваш возраст"
"Add_ort","Место жительства"
"Add_geschlecht","Ваш пол"
"Add_skills","Как хорошо Вы говорите на языке?"
"Add_skills_0","начальный уровень"
"Add_skills_1","выше начального, но не хорошо"
"Add_skills_2","хорошо"
"Add_skills_3","очень хорошо"
"Add_spracheAng","Какой язык Вы предлагаете"
"Add_spracheGes","Какой язык Вы хотите учить"
"Add_beschreibung","Расскажите немного о себе"
"Add_senden","отправить"
"Add_email_subject","%s-Языковой тандем: Ваше объявление"
"Add_notification_email","Здравствуйте %s,

мы рады, что Вы добавили свое объявление в %s-языковой тандем. Чтобы активировать Ваше объявление, пожалуйста, нажмите здесь:
%s

Сейчас Вы можете связаться с заинтересованными посетителями сайта через наш портал. Мы будем посылать Вам запросы с контактными данными. Вы сами решаете, хотите ли Вы связаться с этим человеком или нет.

Наш языковой тандем должен делать возможным обмен без дисриминации. Для нас важно, чтобы уважать личные границы другого человека.
Языковой тандем это не место для сообщений с сексуальным содержанием! Это не служба знакомств!
Может случиться, что кто-то нарушает правила. Поэтому, пожалуйста, не передавайте важные данны людям, с которыми Вы не знакомы. Передавайте Ваш адрес, номер телефона и фамилию только тогда, когда можете доверять другому человеку.
Безопаснее, если первая встреча состоится серез интернет. Это возможно например через Jitsi: http://meet.systemli.org
Если у Вас будут неприятности во время Ваших встреч, сообщите нам, пожалуйста, об этом: sprachtandem@kub-berlin.org

Желаем Вам успехов и удовлетворения с %s-языковым тандемом

С найлучшими пожеланиями

группа языкового тандема



Вы можете удалить Ваше объявление, нажимая на следующую ссылку:
%-с

Нажимая на следующую ссылку, Вы можете обработать Ваше объявление:
%-s

Если у Вас появятся вопросы или предложения, Вы можете обратиться к нам по этому адресу электронной почты: %-s.

."
"Add_datenschutz","Мне понятно, что адрес моей электронной почты, а также мое имя будут сохранены группой "" Языковой тандем"""
"Add_ausfuellen","Пожалуйста заполните все поля, введите настоящий адрес электронной почты и согласитесь с условиями защиты персональных данных."
"Add_Title","Подать объявление"
"Add_gesendet","Ваше объявление сохранено

Вы получите от нас ссылку по почте для активации Вашего объявления."
"Add_nichtGesendet","Письмо с подтверждением не может быть выслано, проверьте еще раз введенный Вами адрес электронной почты."
"zurueck","Назад"
"View_alter","Возраст"
"View_geschlecht","Пол"
"View_skills","Языковые знания"
"View_skills_0","начальный уровень"
"View_skills_1","хорошо"
"View_skills_2","хорошо"
"View_skills_3","очень хорошо"
"View_ort","Место жительства"
"View_spracheAng","Предложенный язык"
"View_spracheGes","Язык поиска"
"View_beschreibung","Описание"
"View_Form_name","Ваше имя"
"View_Form_alter","Ваш возраст"
"View_Form_geschlecht","Ваш пол"
"View_Form_ort","Место жительства"
"View_Form_email","Ваш электронный адрес"
"View_Form_email_nochmal","Повторить адрес электронной почты"
"View_Form_text","Ваше сообщение"
"View_Form_nachrichtAn","Послать сообщение"
"View_Form_ausfuellen","Пожалуйста заполните все поля, введите настоящий адрес электронной почты и согласитесь с условиями защиты персональных данных."
"View_Form_senden","отправить"
"View_AnzeigeMelden","Дать объявление"
"View_gesendet","Ваш запрос был отправлен. Если кому то будет интересен Ваш запрос, он свяжется с вами лично."
"View_nichtGesendet","Ваш запрос не может быть отослан. Вероятно введенный Вами адрес электронной почты не корректный."
"View_email_subject","%s-SЯзыковой тандем: У Вас есть новое сообщение"
"View_notification_email","Здравствуйте %s,

%s один человек %s-%s заинтересован Вашим объявлением
Возраст: %s
Пол: %s
Место жительства: %s
Email %s

Он оставил следующее сообщение:

%s


 Мы желаем Вам всего наилучшего во время Вашей первой встречи. Мы советуем проводить первую встречу онлайн. Через Jitsi или Skype. Если Ваша встреча проходит оффлайн, мы советуем встречаться в людном месте

С наилучшими пожеланиями

%s-группа Языкового Тандема



."
"View_datenschutz","Мне понятно, что адрес моей электронной почты, а также мое имя будут сохранены группой "" Языковой тандем""."
"sprache_afrikaans","Африканс"
"sprache_albanisch","Албанский"
"sprache_amharisch","Амхарский"
"sprache_arabisch","Арабский"
"sprache_armenisch","Армянский"
"sprache_bambara","Бамана"
"sprache_bengali","Бенгальский"
"sprache_bosnisch","Боснийский"
"sprache_bulgarisch","Болгарский"
"sprache_chinesisch","Китайский"
"sprache_daenisch","Датский"
"sprache_deutsch","Немецкий"
"sprache_englisch","Английский"
"sprache_estnisch","Эстонский"
"sprache_ewe","Эве"
"sprache_finnisch","Финнский"
"sprache_franzoesisch","Французский"
"sprache_fula","Фула"
"sprache_griechisch","Греческий"
"sprache_gujarati","Гуджарати"
"sprache_hausa","Хауса"
"sprache_hebräisch","Иврит"
"sprache_hindi","Хинди"
"sprache_igbo","Игбо"
"sprache_indonesisch","Индонезийский"
"sprache_isländisch","Исландский"
"sprache_italienisch","Итальянский"
"sprache_japanisch","Японский"
"sprache_javanisch","Яванский"
"sprache_kannada","Каннада"
"sprache_kikongo","Конго"
"sprache_koreanisch","Корейский"
"sprache_krio","Крио"
"sprache_kroatisch","Хорватский"
"sprache_kurdisch","Курдский"
"sprache_lamnso","Ламнсо"
"sprache_lettisch","Латышский"
"sprache_lingala","Лингала"
"sprache_litauisch","Литовский"
"sprache_maltesisch","Мальтийский"
"sprache_marathi","Маратхи"
"sprache_mazedonisch","Македонский"
"sprache_mongolisch","Монгольский"
"sprache_niederlaendisch","Нидерландский"
"sprache_norwegisch","Норвежский"
"sprache_russisch","Русский"
"sprache_paschto","Пашту"
"sprache_persisch","Персидский"
"sprache_pidgin","Пиджин"
"sprache_polnisch","Польский"
"sprache_portugiesisch","Португальский"
"sprache_punjabi","Пенджабский"
"sprache_romanes","Румынский"
"sprache_rumaenisch","Румынский"
"sprache_serbisch","Сербский "
"sprache_singhalesisch","Сингальский"
"sprache_schwedisch","Шведский"
"sprache_slowakisch","Словакский"
"sprache_slowenisch","Словенский"
"sprache_somali","Сомалийский"
"sprache_sotho","Сесото"
"sprache_spanisch","Испанский"
"sprache_swahili","Суахили"
"sprache_tamilisch","Тамильский"
"sprache_telugu","Телугу"
"sprache_thailaendisch","Тайский"
"sprache_tigrinya","Семитский"
"sprache_tschechisch","Чешский"
"sprache_tuerkisch","Турецкий"
"sprache_twi","Чви"
"sprache_ukrainisch","Украинский"
"sprache_ungarisch","Венгерский"
"sprache_urdu","Урду"
"sprache_weissrussisch","Беларусский"
"sprache_wolof","Волоф"
"sprache_vietnamesisch","Вьетнамский"
"sprache_yoruba","Йоруба"
"sprache_zulu","Зулу"
"sprache_gebaerdensprache","Глухонемой"
"releaseDataset","Объявление активировано"
"releaseDataset_Title","%s-Языковой тандем - Объявление активировать"
"deleteDataset_button_yes","да"
"deleteDataset_button_no","нет"
"deleteDataset","Объявление удалено"
"deleteDataset_Title","%s-Языковой тандем- Вы точно хотите удалить объявление"
"editDataset","изменения сохранены"
"editDataset_Title","%s-Языковой тандем - редактировать объявление"
"Report_Title","%-Языковой тандем - подать объявление"
"Statistik_Title","%-Языковой тандем- Статистика"
"Title","%s-Языковой тандем"
"Report_Form_email","Ваш электронный адрес (по желанию)"
"Report_Form_email_nochmal","Повторить адрес электронной почты"
"Report_Form_name","Ваше имя (по желанию)"
"Report_Form_text","Почему Вы подаете это объявление в двух словах"
"Report_Form_senden","отправить"
"Report_textabove","%s- Мы против дискриминации. Если Вы пережили негативный опыт во время Вашего Языкового тандема, сообщите нам об этом."
"Report_gesendet","Сообщение отправлено"
"Report_nichtGesendet","Сообщение отправлено "
"Report_zurück","Назад"
"Report_email_subject","%s-Языковой тандем. Объявление подано."
"Report_email","Здравствуйте,

Объявление было подано:

от: %s

email: %s

Основание: %s

Это объявление было опубликовано:
%s (%s)

%s"
"Reminder_email","Здравствуйте %s,

Мы желаем Вам всего наилучшего %s-Языковой тандем!

Расскажите о своем опыте языкового тандема:
%s

Вы можете удалить Ваше предложение по следующей ссылке:
%s

Вы можете отредактировать Ваше объявление по следующей ссылке:
%s

Если у Вас есть вопросы, Вы всегда можете нам написать: %s

С наилучшими пожеланиями

%s-Команда языкового тандема"
"Reminder_subject","%s-Языковой тандем: Ваше объявление "
"Edit_ok","Данные сохранены"
"Feedback_title","Поделитесь своим опытом"
"Feedback_intro","Расскажите свои впечатления от языкового тандема:"
"Feedback_frage1","Вы сами подавали объявление?"
"Feedback_frage2","Кто-то откликнулся на Ваше объявление?"
"Feedback_frage3","Вы ответили на объявление?"
"Feedback_frage4","Было ваше общение построено на взаимном уважении?"
"Feedback_frage5","Вы встречались в человеком лично?"
"Feedback_frage6","Прошла ваша встреча хорошо?"
"Feedback_frage7","Если Вы хотите, напишите больше о Вашем опыте:"
"Feedback_frage8","Где вы встречались с Вашим партнером?"
"Feedback_senden","отправить"
