"Startseite","Página principal"
"Angebote","Ofertas"
"Uns unterstützen","Colabore con nosotr@s"
"Über die KuB","Acerca del KuB"
"Aktuelles","Actualidad"
"Beratung","Asesoramiento"
"Deutschkurse","Cursos de alemán"
"Mitmachen","Colaborar"
"Praktikum in der KuB","Pasantía en el KuB"
"Praktikum im Erstkontakt","Pasantía en el primer contacto"
"Praktikum in der Verwaltung","Pasantía en la administración "
"Ehrenamtliche Mitarbeit","Voluntariado"
"Bezahlte Stellen","Vacantes"
"Spenden","Donaciones"
"Veröffentlichungen","Publicaciones"
"Geförderte Projekte","Proyectos financiados"
"Kooperationen","Cooperaciones "
"Referent*innen-Pool","Grupo de referentes"
"Transparenz","Transparencia"
"Forschungsprojekt ""SpAM""","Proyecto de investigación ""SpAM"""
"Partner","Colaborador"
"Impressum","Pie de imprenta"
"Datenschutz","Protección de datos"
"Die Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e. V. (KuB) ist ein gemeinnütziger Verein in Berlin-Kreuzberg. Wir unterstützen Geflüchtete und Migrant*innen aus aller Welt. Wir beraten bei Fragen zum Asylrecht und zum Aufenthaltsrecht. Wir unterstützen bei psychischen und sozialen Problemen. Wir finden, dass allen Menschen ein sicherer Aufenthaltsstatus und politische, soziale und ökonomische Gleichstellung zustehen.","El Centro de Contacto y Asesoramiento para Refugiados e Inmigrantes (KuB) es una asociación sin ánimos de lucro situada en Berlin-Kreuzberg. Brindamos apoyo a refugiados e inmigrantes de todo el mundo. Ofrecemos asesoramiento sobre derecho de asilo y derecho de residencia. Apoyamos a personas con problemas psíquicos y sociales. Consideramos que todos tenemos derecho a un estatus de residencia seguro y a gozar de igualdad política, social y económica."
"KuB e.V.","KuB e.V."
"Sorry, no tanslation available","Disculpe, no hay traducción disponible"
