"Startseite","Startseite"
"Angebote","Angebote"
"Uns unterstützen","Uns unterstützen"
"Über die KuB","Über die KuB"
"Aktuelles","Aktuelles"
"Beratung","Beratung"
"Deutschkurse","Deutschkurse"
"Mitmachen","Mitmachen"
"Praktikum in der KuB","Praktikum in der KuB"
"Praktikum im Erstkontakt","Praktikum im Erstkontakt"
"Praktikum in der Verwaltung","Praktikum in der Verwaltung"
"Ehrenamtliche Mitarbeit","Ehrenamtliche Mitarbeit"
"Bezahlte Stellen","Bezahlte Stellen"
"Spenden","Spenden"
"Veröffentlichungen","Veröffentlichungen"
"Geförderte Projekte","Geförderte Projekte"
"Kooperationen","Kooperationen"
"Referent*innen-Pool","Referent*innen-Pool"
"Transparenz","Transparenz"
"Forschungsprojekt ""SpAM""","Forschungsprojekt ""SpAM"""
"Partner","Partner"
"Impressum","Impressum"
"Datenschutz","Datenschutz"
"Die Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e. V. (KuB) ist ein gemeinnütziger Verein in Berlin-Kreuzberg. Wir unterstützen Geflüchtete und Migrant*innen aus aller Welt. Wir beraten bei Fragen zum Asylrecht und zum Aufenthaltsrecht. Wir unterstützen bei psychischen und sozialen Problemen. Wir finden, dass allen Menschen ein sicherer Aufenthaltsstatus und politische, soziale und ökonomische Gleichstellung zustehen.","Die Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e. V. (KuB) ist ein gemeinnütziger Verein in Berlin-Kreuzberg. Wir unterstützen Geflüchtete und Migrant*innen aus aller Welt. Wir beraten bei Fragen zum Asylrecht und zum Aufenthaltsrecht. Wir unterstützen bei psychischen und sozialen Problemen. Wir finden, dass allen Menschen ein sicherer Aufenthaltsstatus und politische, soziale und ökonomische Gleichstellung zustehen."
"KuB e.V.","KuB e.V."
"Sorry, no tanslation available","Sorry, no tanslation available"
